token,frequency
reflected,44
reputation,32
leverage,5
inhouse,2
receiving,6
input,52
economics,6
theme,7
quarter,37
decisions,2
outline,9
concise,1
categorised,4
seven,14
where,26
regulatorsgovernments,5
stakeholdersacademiathinktanks,5
suppliersstrategic,5
council,11
frc,4
consequence,13
accommodation,2
mitigation,20
option,58
covering,18
april,42
clarified,2
proposition,1
translated,7
significance,4
involved,27
scientist,3
inform,10
parameter,8
month,55
threeday,1
proposed,32
pathway,14
premise,6
alternative,39
undertaken,28
benchmark,21
civil,14
thinktanks,2
academia,1
school,2
audience,1
qualitative,9
quantitative,7
interviewbased,1
analysis,31
decarbonising,1
later,25
subsequently,13
refined,13
shifting,6
extent,48
attract,7
partnership,16
participated,7
session,20
location,36
style,1
credible,2
informing,1
deliberation,4
fed,1
feedback,36
explanation,15
restructuring,28
leadup,2
scale,13
beginning,22
rest,12
formulating,1
ensuring,26
maintains,5
bring,8
advisory,14
tremendous,1
contribute,14
essence,1
endorsed,2
caused,36
resulted,19
successfully,9
several,29
occasion,3
regarding,33
holder,69
early,22
preservation,9
pausing,1
assessed,66
continuation,1
payable,44
connection,25
asked,7
broad,15
impacted,23
articulation,1
counterparty,17
viability,21
balanced,17
prior,65
discussed,69
extensively,5
perception,6
having,3
advisor,1
bank,21
boards,11
guide,9
content,14
communication,17
an,29
study,7
commissioned,1
periodic,10
vice,38
president,46
summarised,6
broker,8
received,72
reinforce,7
their,4
care,23
continuity,11
certainty,5
preserving,1
timing,20
largescale,7
redundancy,16
stress,13
vulnerability,1
equipped,3
returntowork,1
formulated,2
lender,3
creditrating,1
agency,13
meant,5
retention,9
largely,11
middle,7
led,26
clearly,11
communicate,2
prioritisation,1
op,11
followed,14
indepth,8
latter,5
advance,16
preparation,28
draft,3
requested,8
incorporated,14
versus,3
continual,4
analyst,8
gearing,13
reviewed,85
thoroughly,2
assessment,116
attention,17
featured,4
heavily,3
difference,75
observed,6
organisational,19
structure,52
salary,93
worker,8
welfare,1
underpin,14
scorecard,56
bonus,108
length,4
suitably,2
stretching,6
reflects,18
sought,18
sustaining,3
pivoting,2
overall,93
underpins,2
realising,1
completely,2
reward,20
closure,10
highgrade,4
