token,frequency
ceo,5
sales,2
countries,1
locations,1
includes,21
container,4
chile,2
bolivia,1
throughput,8
captive,1
lowest,6
valueadd,1
serf,2
topfive,1
polymetallic,1
requiring,2
cluster,1
south,1
peninsula,1
imported,1
mediterranean,1
delivering,2
landlocked,1
freightforwarding,1
overland,1
arranged,1
dependent,3
reliant,1
pusher,1
navigational,1
problem,1
hydrocarbon,1
diluent,1
viscosity,1
barged,1
planned,4
dredge,1
dyke,1
river,5
traffic,1
delayed,2
presidential,1
anticipate,1
commercially,1
soon,1
begin,1
bauxite,1
ranging,3
minority,2
rest,1
operations,3
matsas,1
magdalena,1
drew,1
lost,5
injury,3
castellanos,1
reached,1
stabilisation,1
improving,3
addressing,2
normal,9
strike,2
disturbance,2
finalising,1
matsa,7
completion,2
phase,1
reconstruction,1
sustaining,1
optimising,1
original,5
extraction,2
frequency,2
metallurgical,1
fruit,1
systematic,1
modernisation,1
confirms,1
status,1
swing,1
exploration,1
del,5
parastatal,1
plant,28
design,6
treated,4
huanca,1
nevertheless,1
recoup,1
whole,17
regrettably,1
fatal,1
worker,1
died,1
occurred,6
culture,3
otherwise,6
tico,3
processing,4
sinter,1
method,17
conclude,6
neighbouring,1
brand,1
once,3
mubadala,1
owning,1
remainder,1
its,2
resources,4
invested,4
equal,3
brief,1
update,2
finnish,1
convertible,1
terrafame,1
package,1
channelled,1
special,3
raised,2
august,3
proceeded,1
study,3
utahbased,1
bituminous,1
initially,6
recapitalised,1
reorganised,1
appointment,2
externallyhired,1
grech,1
injected,1
wolverine,1
bringing,2
assisted,1
assetbased,1
restarted,1
reexporting,1
pose,1
whether,36
rigorous,2
conservative,3
element,6
foundation,2
mitigates,1
identifiable,5
systematically,2
hedging,51
extensively,1
letter,7
ensured,2
degree,4
reduces,3
unlike,1
paid,12
capability,4
traﬁguras,1
oversight,4
consists,4
overseen,1
corporate,20
direct,8
channel,1
determines,7
appetite,2
ensures,4
manner,3
advice,2
hedge,99
implemented,2
cro,2
